	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	csf	white_matter	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
100.0	0.0	0.0	0.0	1.2740023333598667	-0.0446224051218706	-0.0079575604590615	-0.5134691096608748	-0.0139257686226009	0.0045532509919388	0.0010032570866156	1577.1192523265804	849.468905959715	0.07003079253717928	0.04179444869848973	0.0028483890434972342	-0.036827562693819316	-0.06706654988344614	-0.08011991284787363	-0.0726427622022797	-0.04655109782281273	-0.008530838997326423	0.031675424529289065	0.06376494514785183	0.07951486893377796	1.0
102.0	0.0	0.0	0.0	0.820153886703887	-0.0441034181127832	-0.0255057079911296	-0.4944862367510154	-0.0137366265736148	0.0047741332329647	0.0008893369563624	1579.4757465396508	849.3969409405616	0.06962856811886169	0.040395717291484376	0.0004069963136726935	-0.03969009257527129	-0.06921919281041976	-0.08031780833812863	-0.07003079253717928	-0.04109719334654232	-0.0012209471422852118	0.038980391665928	0.06880270865491044	0.08030543510535848	1.0
104.0	0.0	0.0	0.0	0.06146524187028364	-0.0450331362200557	-0.00983009904931	-0.5084805169902182	-0.0134275712374415	0.0045550433087533	0.0009206274065669	1575.7512328829894	849.2649282646928	0.06921919281041977	0.03898039166592807	-0.0020347725789917393	-0.0424874117388397	-0.07119415106219801	-0.08021884026537808	-0.06706654988344617	-0.0353733094866709	0.006099094504947869	0.045885367235176666	0.07298635494927361	0.07990982702805212	1.0
106.0	0.0	0.0	0.0	-0.4373109513884643	-0.034652842024812	-0.0009593265648959	-0.5069986589961459	-0.0139555644717339	0.0045581802035834	0.0006533413570126	1575.626339875626	850.3358299097049	0.06880270865491044	0.037549053225601314	-0.004474660850613267	-0.04521492419648402	-0.07298635494927364	-0.07982337442663898	-0.06376494514785189	-0.029417048096523502	0.013368434086841796	0.052319496843769735	0.0762639482222836	0.07833388814338105	1.0
108.0	0.0	0.0	0.0	-0.5299385906141074	-0.0369308967134287	0.0194375517376386	-0.4861288127307617	-0.0130386307792016	0.0043010195687334	0.0010240883040947	1580.0624727877382	852.1876899004651	0.06837915842547286	0.03610228995221338	-0.0069104134554568535	-0.047868148652398176	-0.0745912039099725	-0.07913287250768641	-0.06014258625564415	-0.02326753758482434	0.020526641234568176	0.058216757615154525	0.07859480041259193	0.0756008963044615	1.0
110.0	0.0	0.0	0.0	-0.3964832655481262	-0.0443555284500547	0.0063899277774055	-0.4928749074582157	-0.0134014636373435	0.0046220649651147	0.0012920375762682	1577.9121460051497	851.9493382529336	0.06794858562093567	0.03464069616386432	-0.009339779170141867	-0.05044272586576787	-0.07600457832002937	-0.07814988668050026	-0.05621769460838974	-0.01696517586983027	0.02751420942855725	0.06351663567354768	0.07994997630798212	0.07175121994385966	1.0
112.0	0.0	0.0	0.0	-0.22708109006197058	-0.0465082202477873	0.00604221133392	-0.4548012197728681	-0.0134477568622738	0.0040787755645301	0.0008809661307286	1580.941468281279	852.2620549054876	0.06751103446134962	0.03316487227090406	-0.011760512674316038	-0.05293442581299186	-0.07722285006760442	-0.07687805017015321	-0.05201001342561456	-0.010551364993687855	0.034273050679051786	0.06816474709818932	0.08031265274725741	0.06684172180018712	1.0
114.0	0.0	0.0	0.0	-0.10733134913115187	-0.0425364207034419	-0.0106736627892018	-0.4560375175308593	-0.0131552905595687	0.0041543227796041	0.0008918700948904	1585.3181532228737	851.3981853491526	0.06706654988344614	0.03167542452928908	-0.014170376625873263	-0.055339154637599516	-0.07824289186659421	-0.07532206382600654	-0.04754070843130609	-0.004068239140410014	0.040746978414352875	0.07211339597596281	0.07967832746305821	0.06094491901086234	1.0
116.0	0.0	0.0	0.0	-0.043622662219468665	-0.0367160828129442	-0.0282611221404067	-0.4676283868887481	-0.0131865002869586	0.0042929148833694	0.0007258378409213	1573.2129459098114	848.813514662404	0.06661517753602235	0.030172964791537468	-0.016567143728797886	-0.057652961376446286	-0.07906208528433026	-0.07348767874684731	-0.0428322613848508	0.002441612155800271	0.046882174562487715	0.07532206382600652	0.07805487497303475	0.05414791197712584	1.0
118.0	0.0	0.0	0.021881268236136987	-0.015675594153759385	-0.0331068761580581	-0.01901453535325	-0.4688402538836271	-0.0136171874492571	0.0040789966721428	0.0008378140985433	1574.6892519987657	849.4566348809175	0.06615696377525282	0.02865811025538509	-0.01894859879172399	-0.059872044451135836	-0.07967832746305821	-0.07138167502418681	-0.037908356991972814	0.008935423793553724	0.05262763694342486	0.07775782537415772	0.07546244882554033	0.046551097822812734	1.0
120.0	0.0	0.0	0.37664726642616186	-0.005082109423902838	-0.0316989637149731	-0.0085840694054297	-0.4712159889605871	-0.0139833317077928	0.0040817034668625	0.0006450691758959	1584.7576978100512	850.5647902389758	0.06569195565992891	0.027131483210246082	-0.02131254077530669	-0.061992757914003244	-0.08009003651794348	-0.06901183668228755	-0.03279376376454209	0.015370536040629596	0.057935603252644026	0.0793956864108203	0.07193323141336899	0.03826668745010687	1.0
