	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
92.0	0.0	0.0	0.0	-0.07739008775719469	0.0030334608669306	-0.1448578916282343	-0.1311419290830571	-0.0068998761794238	0.0006319977475162	0.0010171959600048	0.0715673662406329	0.047212047588514626	0.01256511860268357	-0.024820842284131246	-0.05679618342470648	-0.07639069767669417	-0.07933303660976493	-0.0649818087292562	-0.0364653944528909	-1.4754899702305953e-17	0.036465394452890876	0.06498180872925619	1.0
94.0	0.0	0.0	0.0	0.5021571980660557	0.0026758355696614	-0.1616553592011484	-0.0952683579294912	-0.0068852779433802	0.000538174086428	0.0008228634039206	0.07119415106219802	0.04588536723517674	0.010147760142783738	-0.027896229211432914	-0.059599965414241736	-0.07775782537415771	-0.07824289186659421	-0.06094491901086235	-0.029795388946726484	0.008126035169293668	0.04420057454329113	0.07022921022478218	1.0
96.0	0.0	0.0	0.0	1.083081128448562	0.0117999083033453	-0.0938998265961998	-0.098388541010614	-0.0077332876946468	0.0005872418747312	0.000715281712844	0.0708136242074571	0.04453983756158301	0.007721022702913327	-0.03092578270738969	-0.06225075514734767	-0.07883755149070468	-0.07675916515242867	-0.05650766444201689	-0.022877692942250092	0.016168686221467957	0.051387048452401315	0.07443927121428878	1.0
98.0	0.0	0.0	0.0	1.3200772385546347	0.002907579246866	-0.1255772970468029	-0.1333010030661725	-0.0071298282225073	0.000515882826332	0.0010163540486665	0.07042582475671583	0.04317601129992799	0.0052871491742642815	-0.03390452522356268	-0.06474174808479725	-0.07962588523838077	-0.0748893199961672	-0.05169919463503701	-0.01576981357835436	0.024045424673281697	0.05793560325264408	0.07754980579559587	1.0
100.0	0.0	0.0	0.0	1.273723049301003	0.0197359774405896	-0.1487485213436628	-0.1194196400864555	-0.0079479019718569	0.0006189649402552	0.001017978303945	0.07003079253717928	0.04179444869848973	0.0028483890434972342	-0.036827562693819316	-0.06706654988344614	-0.08011991284787363	-0.0726427622022797	-0.04655109782281273	-0.008530838997326423	0.031675424529289065	0.06376494514785183	0.07951486893377796	1.0
102.0	0.0	0.0	0.0	0.8090533657809589	0.0033347424295016	-0.1458869626760588	-0.1490036485901527	-0.007370056120151	0.000951754343651	0.0010200221759997	0.06962856811886169	0.040395717291484376	0.0004069963136726935	-0.03969009257527129	-0.06921919281041976	-0.08031780833812863	-0.07003079253717928	-0.04109719334654232	-0.0012209471422852118	0.038980391665928	0.06880270865491044	0.08030543510535848	1.0
104.0	0.0	0.0	0.0	0.04933096117902914	0.0110924982427889	-0.1500954358640029	-0.0925023073742465	-0.0069972985932168	0.0004331038185942	0.0011150296968702	0.06921919281041977	0.03898039166592807	-0.0020347725789917393	-0.0424874117388397	-0.07119415106219801	-0.08021884026537808	-0.06706654988344617	-0.0353733094866709	0.006099094504947869	0.045885367235176666	0.07298635494927361	0.07990982702805212	1.0
106.0	0.0	0.0	0.0	-0.4419803672404087	0.0102523446226427	-0.1461121014766746	-0.1524292690570021	-0.0071148452889303	0.0004314025193248	0.0012940498841381	0.06880270865491044	0.037549053225601314	-0.004474660850613267	-0.04521492419648402	-0.07298635494927364	-0.07982337442663898	-0.06376494514785189	-0.029417048096523502	0.013368434086841796	0.052319496843769735	0.0762639482222836	0.07833388814338105	1.0
108.0	0.0	0.0	0.0	-0.5283862749314117	0.002928739262046	-0.1001547759518928	-0.1049718362834184	-0.0069113266163264	0.0003578432209185	0.0014937534811176	0.06837915842547286	0.03610228995221338	-0.0069104134554568535	-0.047868148652398176	-0.0745912039099725	-0.07913287250768641	-0.06014258625564415	-0.02326753758482434	0.020526641234568176	0.058216757615154525	0.07859480041259193	0.0756008963044615	1.0
110.0	0.0	0.0	0.0	-0.39286106698203993	0.0114462354292754	-0.1230531401643446	-0.0840531878073491	-0.0071952217731723	0.0003290026444495	0.0009731965157037	0.06794858562093567	0.03464069616386432	-0.009339779170141867	-0.05044272586576787	-0.07600457832002937	-0.07814988668050026	-0.05621769460838974	-0.01696517586983027	0.02751420942855725	0.06351663567354768	0.07994997630798212	0.07175121994385966	1.0
112.0	0.0	0.0	0.0	-0.22404885419164322	0.0140210790622035	-0.0982300640004751	-0.0971113719693903	-0.0078219457253789	0.0005962980816762	0.0012043517421685	0.06751103446134962	0.03316487227090406	-0.011760512674316038	-0.05293442581299186	-0.07722285006760442	-0.07687805017015321	-0.05201001342561456	-0.010551364993687855	0.034273050679051786	0.06816474709818932	0.08031265274725741	0.06684172180018712	1.0
114.0	0.0	0.0	0.0	-0.10554973615255768	0.0202599931483149	-0.1000403459240146	-0.1575301034785852	-0.0071958676220023	0.0007018712733706	0.00087203612587	0.06706654988344614	0.03167542452928908	-0.014170376625873263	-0.055339154637599516	-0.07824289186659421	-0.07532206382600654	-0.04754070843130609	-0.004068239140410014	0.040746978414352875	0.07211339597596281	0.07967832746305821	0.06094491901086234	1.0
116.0	0.0	0.0	0.0	-0.0427842280417893	0.0028994289706503	-0.138777025524007	-0.1378553944865999	-0.0063763182902292	0.0007446620921669	0.0007358800719038	0.06661517753602235	0.030172964791537468	-0.016567143728797886	-0.057652961376446286	-0.07906208528433026	-0.07348767874684731	-0.0428322613848508	0.002441612155800271	0.046882174562487715	0.07532206382600652	0.07805487497303475	0.05414791197712584	1.0
118.0	0.0	0.0	0.01982111579816221	-0.015340224232749392	0.0033838872113136	-0.1350406906150283	-0.1718363456592015	-0.007019261594197	0.0011027112728256	0.0003718732485098	0.06615696377525282	0.02865811025538509	-0.01894859879172399	-0.059872044451135836	-0.07967832746305821	-0.07138167502418681	-0.037908356991972814	0.008935423793553724	0.05262763694342486	0.07775782537415772	0.07546244882554033	0.046551097822812734	1.0
120.0	0.0	0.0	0.3647083113255543	-0.00496407758156253	0.0403543861617379	-0.1003283353708326	-0.207771330430738	-0.0067620635285613	0.0004403329603905	5.099046839635068e-05	0.06569195565992891	0.027131483210246082	-0.02131254077530669	-0.061992757914003244	-0.08009003651794348	-0.06901183668228755	-0.03279376376454209	0.015370536040629596	0.057935603252644026	0.0793956864108203	0.07193323141336899	0.03826668745010687	1.0
122.0	0.0	0.0	1.0305809016635008	-0.0014679133872348236	0.0498834769126261	-0.0865958240015771	-0.1333655770467388	-0.0060246422291996	0.0004380770070653	0.0004738243315697	0.06522020094662566	0.02559371078158152	-0.023656784826514073	-0.0640116174383976	-0.08029615559774696	-0.06638692290754264	-0.027514209428557344	0.021704674778130918	0.06276194811146672	0.08021884026537807	0.06751103446134965	0.02941704809652351	1.0
124.0	0.0	0.0	1.4759530760503585	-0.00039969606309150723	0.03539146835395	-0.1179785919488978	-0.2011655725026813	-0.0062889936972671	0.0003813169053381	-0.0002583026691427	0.06474174808479724	0.024045424673281683	-0.025979164297958608	-0.06592530604342141	-0.08029615559774696	-0.06351663567354772	-0.02209625150703379	0.02789622921143292	0.06706654988344612	0.08021884026537808	0.06225075514734766	0.02013289587485615	1.0
126.0	0.0	0.0	1.544129030841055	-9.863377155170262e-05	0.0363133827908797	-0.0997541240555506	-0.2216991791691711	-0.0074954242402689	0.0005330536577237	-0.0005460097674433	0.06425664621180119	0.022487260908167394	-0.02827753275040242	-0.0677306795437215	-0.08009003651794348	-0.06041158388152613	-0.016567143728797976	0.033904525223562645	0.07081362420745708	0.07939568641082033	0.05621769460838975	0.010551364993687863	1.0
128.0	0.0	0.0	1.3813336824910185	-1.9443526973190575e-05	0.049772203329951	-0.0997403406525592	-0.2262340676485337	-0.007342937419967	0.0006729152769848	-0.0003830348901625	0.06376494514785189	0.020919859566717203	-0.03054976593658535	-0.06942477171537748	-0.07967832746305821	-0.05708324414864863	-0.010954698935186207	0.039690092575271285	0.07397202147480725	0.07775782537415774	0.04948674729198077	0.0008139821775950693	1.0
130.0	0.0	0.0	0.8637765489233558	0.0	0.0387743565728015	-0.0788076913754309	-0.1927635439388311	-0.0065368975846378	0.0009920193649595	-0.0003082605922252	0.06326669539090408	0.019343864524127855	-0.032793763764542044	-0.07100479916939956	-0.07906208528433026	-0.05354391838917866	-0.005287149174264363	0.045214924196483985	0.07651548577742925	0.07532206382600656	0.04214147121601118	-0.008935423793553644	1.0
132.0	0.0	0.0	0.09696195182220524	0.0	0.0312109766265109	-0.0977655002821649	-0.1855511785942383	-0.0073367484964605	0.0011588918670419	0.0003057550918607	0.06276194811146674	0.01775992318581566	-0.035007452238594076	-0.07246816592482966	-0.07824289186659421	-0.04980668834522701	0.00040699631367265596	0.050442725865767854	0.07842287317450454	0.07211339597596284	0.03427305067905183	-0.018552846548461916	1.0
134.0	0.0	0.0	-0.0675205306390072	0.0	0.0262581760175066	-0.082210606550376	-0.2463277498033775	-0.0070360617726283	0.0010250207837152	-2.393957201371824e-06	0.06225075514734767	0.016168686221467977	-0.03718878537622242	-0.07381246767393106	-0.07722285006760443	-0.04588536723517674	0.0060990945049479404	0.055339154637599516	0.07967832746305821	0.06816474709818934	0.025979164297958587	-0.027896229211432914	1.0
